MESS_DATUM;ABFLUSS
01.01.2007 00:00;14.45
01.01.2007 01:00;14.47
01.01.2007 02:00;14.5
01.01.2007 03:00;14.52
01.01.2007 04:00;14.55
01.01.2007 05:00;14.57
01.01.2007 06:00;14.6
01.01.2007 07:00;14.63
01.01.2007 08:00;14.65
01.01.2007 09:00;14.68
01.01.2007 10:00;14.7
01.01.2007 11:00;14.73
01.01.2007 12:00;14.88
01.01.2007 13:00;15.03
01.01.2007 14:00;15.18
01.01.2007 15:00;16.1
01.01.2007 16:00;17.32
01.01.2007 17:00;17.09
01.01.2007 18:00;16.45
01.01.2007 19:00;16.43
01.01.2007 20:00;16.42
01.01.2007 21:00;16.4
01.01.2007 22:00;16.55
01.01.2007 23:00;16.86
02.01.2007 00:00;17.01
02.01.2007 01:00;17.47
02.01.2007 02:00;17.45
02.01.2007 03:00;17.43
02.01.2007 04:00;17.4
02.01.2007 05:00;17.38
02.01.2007 06:00;17.36
02.01.2007 07:00;17.34
02.01.2007 08:00;17.32
02.01.2007 09:00;17.22
02.01.2007 10:00;17.11
02.01.2007 11:00;17.01
02.01.2007 12:00;16.91
02.01.2007 13:00;16.81
02.01.2007 14:00;16.71
02.01.2007 15:00;16.63
02.01.2007 16:00;16.55
02.01.2007 17:00;16.48
02.01.2007 18:00;16.4
02.01.2007 19:00;16.31
02.01.2007 20:00;16.22
02.01.2007 21:00;16.13
02.01.2007 22:00;16.03
02.01.2007 23:00;15.94
03.01.2007 00:00;15.89
03.01.2007 01:00;15.83
03.01.2007 02:00;15.77
03.01.2007 03:00;15.71
03.01.2007 04:00;15.66
03.01.2007 05:00;15.6
03.01.2007 06:00;15.54
03.01.2007 07:00;15.49
03.01.2007 08:00;15.38
03.01.2007 09:00;15.28
03.01.2007 10:00;15.18
03.01.2007 11:00;15.11
03.01.2007 12:00;15.05
03.01.2007 13:00;14.98
03.01.2007 14:00;14.91
03.01.2007 15:00;14.84
03.01.2007 16:00;14.78
03.01.2007 17:00;14.42
03.01.2007 18:00;14.57
03.01.2007 19:00;14.73
03.01.2007 20:00;14.76
03.01.2007 21:00;14.79
03.01.2007 22:00;14.82
03.01.2007 23:00;14.85
04.01.2007 00:00;14.88
04.01.2007 01:00;14.91
04.01.2007 02:00;14.94
04.01.2007 03:00;14.97
04.01.2007 04:00;15
04.01.2007 05:00;15.03
04.01.2007 06:00;15.33
04.01.2007 07:00;15.36
04.01.2007 08:00;15.39
04.01.2007 09:00;15.43
04.01.2007 10:00;15.46
04.01.2007 11:00;15.49
04.01.2007 12:00;15.75
04.01.2007 13:00;16.02
04.01.2007 14:00;16.86
04.01.2007 15:00;16.97
04.01.2007 16:00;17.09
04.01.2007 17:00;17.2
04.01.2007 18:00;17.32
04.01.2007 19:00;17.78
04.01.2007 20:00;18.29
04.01.2007 21:00;18.8
04.01.2007 22:00;19.42
04.01.2007 23:00;20.29
05.01.2007 00:00;21.01
05.01.2007 01:00;21.32
05.01.2007 02:00;21.4
05.01.2007 03:00;21.48
05.01.2007 04:00;21.79
05.01.2007 05:00;21.95
05.01.2007 06:00;22.41
05.01.2007 07:00;22.65
05.01.2007 08:00;22.88
05.01.2007 09:00;23.04
05.01.2007 10:00;23.2
05.01.2007 11:00;23.2
05.01.2007 12:00;23.2
05.01.2007 13:00;23.2
05.01.2007 14:00;23.13
05.01.2007 15:00;23.07
05.01.2007 16:00;23.01
05.01.2007 17:00;22.95
05.01.2007 18:00;22.88
05.01.2007 19:00;22.57
05.01.2007 20:00;22.1
05.01.2007 21:00;22.02
05.01.2007 22:00;21.95
05.01.2007 23:00;21.58
06.01.2007 00:00;21.17
06.01.2007 01:00;21.17
06.01.2007 02:00;20.86
06.01.2007 03:00;20.55
06.01.2007 04:00;20.24
06.01.2007 05:00;19.93
06.01.2007 06:00;19.85
06.01.2007 07:00;19.78
06.01.2007 08:00;19.7
06.01.2007 09:00;19.62
06.01.2007 10:00;19.54
06.01.2007 11:00;19.47
06.01.2007 12:00;19.39
06.01.2007 13:00;19.31
06.01.2007 14:00;18.45
06.01.2007 15:00;18.24
06.01.2007 16:00;19.01
06.01.2007 17:00;19.62
06.01.2007 18:00;19.93
06.01.2007 19:00;19.93
06.01.2007 20:00;20.24
06.01.2007 21:00;20.55
06.01.2007 22:00;20.86
06.01.2007 23:00;21.27
07.01.2007 00:00;21.64
07.01.2007 01:00;22.1
07.01.2007 02:00;23.72
07.01.2007 03:00;25.4
07.01.2007 04:00;27.57
07.01.2007 05:00;29.75
07.01.2007 06:00;33.08
07.01.2007 07:00;36.09
07.01.2007 08:00;38.88
07.01.2007 09:00;41.14
07.01.2007 10:00;43.21
07.01.2007 11:00;44.94
07.01.2007 12:00;46.25
07.01.2007 13:00;47.48
07.01.2007 14:00;48.1
07.01.2007 15:00;48.63
07.01.2007 16:00;48.72
07.01.2007 17:00;48.1
07.01.2007 18:00;47.57
07.01.2007 19:00;45.96
07.01.2007 20:00;44.59
07.01.2007 21:00;43.21
07.01.2007 22:00;41.66
07.01.2007 23:00;40.52
08.01.2007 00:00;39.14
08.01.2007 01:00;37.81
08.01.2007 02:00;36.75
08.01.2007 03:00;35.59
08.01.2007 04:00;34.59
08.01.2007 05:00;33.69
08.01.2007 06:00;32.87
08.01.2007 07:00;32.13
08.01.2007 08:00;31.21
08.01.2007 09:00;30.43
08.01.2007 10:00;29.86
08.01.2007 11:00;29.49
08.01.2007 12:00;28.95
08.01.2007 13:00;28.42
08.01.2007 14:00;28.5
08.01.2007 15:00;28.58
08.01.2007 16:00;28.9
08.01.2007 17:00;27.94
08.01.2007 18:00;27.3
08.01.2007 19:00;27.14
08.01.2007 20:00;26.51
08.01.2007 21:00;26.47
08.01.2007 22:00;26.43
08.01.2007 23:00;26.4
09.01.2007 00:00;26.19
09.01.2007 01:00;26.03
09.01.2007 02:00;25.79
09.01.2007 03:00;25.55
09.01.2007 04:00;25.46
09.01.2007 05:00;25.37
09.01.2007 06:00;25.27
09.01.2007 07:00;25.18
09.01.2007 08:00;25.08
09.01.2007 09:00;24.92
09.01.2007 10:00;24.77
09.01.2007 11:00;24.66
09.01.2007 12:00;24.56
09.01.2007 13:00;24.45
09.01.2007 14:00;24.4
09.01.2007 15:00;24.35
09.01.2007 16:00;24.29
09.01.2007 17:00;24.37
09.01.2007 18:00;23.67
09.01.2007 19:00;23.51
09.01.2007 20:00;23.35
09.01.2007 21:00;23.04
09.01.2007 22:00;22.8
09.01.2007 23:00;22.57
10.01.2007 00:00;22.1
10.01.2007 01:00;22.02
10.01.2007 02:00;21.95
10.01.2007 03:00;21.87
10.01.2007 04:00;21.79
10.01.2007 05:00;21.48
10.01.2007 06:00;21.17
10.01.2007 07:00;21.17
10.01.2007 08:00;21.17
10.01.2007 09:00;20.86
10.01.2007 10:00;20.86
10.01.2007 11:00;20.24
10.01.2007 12:00;20.22
10.01.2007 13:00;20.2
10.01.2007 14:00;20.18
10.01.2007 15:00;20.16
10.01.2007 16:00;20.14
10.01.2007 17:00;20.12
10.01.2007 18:00;20.1
10.01.2007 19:00;20.09
10.01.2007 20:00;20.39
10.01.2007 21:00;20.86
10.01.2007 22:00;21.17
10.01.2007 23:00;21.48
11.01.2007 00:00;22.41
11.01.2007 01:00;24.29
11.01.2007 02:00;26.35
11.01.2007 03:00;27.94
11.01.2007 04:00;29.14
11.01.2007 05:00;30.35
11.01.2007 06:00;31.75
11.01.2007 07:00;32.41
11.01.2007 08:00;32.79
11.01.2007 09:00;32.79
11.01.2007 10:00;32.79
11.01.2007 11:00;32.79
11.01.2007 12:00;32.79
11.01.2007 13:00;32.46
11.01.2007 14:00;32.35
11.01.2007 15:00;32.24
11.01.2007 16:00;32.13
